code,label,parent
diagnostic_imaging,Diagnostic Imaging,diagnostics_imaging_or_lab_service
graphic_designer,Graphic Designer,design_service
specialized_health_care,Specialized Health Care,outpatient_care_facility
animal_shelter,Animal Shelter,animal_adoption_or_rescue
bike_store,Bike Store,sporting_goods_store
car_window_tinting,Car Window Tinting,auto_glass_service
motorcycle_dealer,Motorcycle Dealer,vehicle_dealer
life_coach,Life Coach,personal_or_beauty_service
makeup_artist,Makeup Artist,skin_care_and_makeup
urology,Urology,specialized_health_care
oral_and_maxillofacial_surgery,Oral And Maxillofacial Surgery,surgery
specialty_foods_store,Specialty Foods Store,food_and_beverage_store
business_consulting,Business Consulting,professional_service
baseball_field,Baseball Field,sport_field
vision_or_eye_care_clinic,Vision Or Eye Care Clinic,outpatient_care_facility
nature_reserve,Nature Reserve,land_feature
radiology,Radiology,diagnostics_imaging_or_lab_service
bridal_shop,Bridal Shop,clothing_store
mattress_store,Mattress Store,hardware_home_and_garden_store
asian_restaurant,Asian Restaurant,restaurant
candy_store,Candy Store,casual_eatery
commercial_industrial,Commercial Industrial,b2b_service
courthouse,Courthouse,government_office
ophthalmology,Ophthalmology,vision_or_eye_care_clinic
hair_stylist,Hair Stylist,hair_salon
health_food_store,Health Food Store,food_and_beverage_store
labor_union,Labor Union,civic_organization
video_game_store,Video Game Store,books_music_and_video_store
food_and_beverage_store,Food And Beverage Store,shopping
check_cashing_payday_loans,Check Cashing Payday Loans,financial_service
bed_and_breakfast,Bed And Breakfast,lodging
fence_and_gate_sales_service,Fence And Gate Sales Service,home_service
art_school,Art School,specialty_school
asian_fusion_restaurant,Asian Fusion Restaurant,international_fusion_restaurant
food_delivery_service,Food Delivery Service,food_service
arcade,Arcade,gaming_venue
paving_contractor,Paving Contractor,contractor
pawn_shop,Pawn Shop,second_hand_store
radio_station,Radio Station,media_news_company
tattoo,Tattoo,tattoo_and_piercing
b2b_advertising_and_marketing_service,B2b Advertising And Marketing Service,b2b_office_and_professional_service
mediterranean_restaurant,Mediterranean Restaurant,european_restaurant
hobby_shop,Hobby Shop,arts_crafts_and_hobby_store
surgery_center,Surgery Center,surgery
shooting_range,Shooting Range,sport_or_fitness_facility
lighting_store,Lighting Store,hardware_home_and_garden_store
auction_house,Auction House,specialty_store
latin_american_restaurant,Latin American Restaurant,restaurant
notary_public,Notary Public,legal_service
oil_change_station,Oil Change Station,automotive_service
drugstore,Drugstore,pharmacy_and_drug_store
excavation_service,Excavation Service,home_service
mobile_home_park,Mobile Home Park,housing_or_property_service
monument,Monument,memorial_site
educational_service,Educational Service,education
damage_restoration,Damage Restoration,home_service
butcher_shop,Butcher Shop,food_and_beverage_store
holiday_rental_home,Holiday Rental Home,private_lodging
sewing_and_alterations,Sewing And Alterations,home_service
abuse_and_addiction_treatment_center,Abuse And Addiction Treatment Center,specialized_medical_facility
carpet_cleaning,Carpet Cleaning,home_service
cosmetic_dentistry,Cosmetic Dentistry,dental_clinic
pet_boarding,Pet Boarding,pet_care_service
appliance_repair_service,Appliance Repair Service,home_service
environmental_conservation_organization,Environmental Conservation Organization,environmental_or_ecological_service
marriage_or_relationship_counseling,Marriage Or Relationship Counseling,counseling
outdoor_store,Outdoor Store,sporting_goods_store
pain_management,Pain Management,specialized_health_care
bagel_shop,Bagel Shop,casual_eatery
cosmetics_and_fragrance_store,Cosmetics And Fragrance Store,beauty_supply_store
flooring_store,Flooring Store,hardware_home_and_garden_store
home_inspector,Home Inspector,home_service
publisher,Publisher,media_news_company
truck_repair,Truck Repair,automotive_service
public_school,Public School,school
b2b_energy_and_utility_service,B2b Energy And Utility Service,b2b_service
stadium_arena,Stadium Arena,arts_and_entertainment
